kec,jp_2015
Semarang Barat,"158131.00000000000"
Semarang Tengah,"70259.00000000000"
Tugu,"31592.00000000000"
Ngaliyan,"125828.00000000000"
Semarang Selatan,"79620.00000000000"
Gajah Mungkur,"63707.00000000000"
Semarang Timur,"77331.00000000000"
Genuk,"97534.00000000000"
Gayamsari,"74178.00000000000"
Pedurungan,"180282.00000000000"
Tembalang,"156763.00000000000"
Candisari,"79258.00000000000"
Banyumanik,"132508.00000000000"
Gunungpati,"78641.00000000000"
Mijen,"61405.00000000000"
Semarang Utara,"127720.00000000000"
